check,violations,examples
import_and_export_same_hour,274,2025-05-05 12:00:00;2025-05-07 12:00:00;2025-05-13 12:00:00;2025-05-14 12:00:00;2025-05-20 09:00:00;2025-05-20 12:00:00;2025-05-20 13:00:00;2025-05-21 07:00:00;2025-05-21 08:00:00;2025-05-21 12:00:00
battery_charge_and_discharge_same_hour,0,
tes_charge_and_dispatch_same_hour,0,
export_while_import_or_batt_discharge,0,
dh_used_while_tes_not_dispatching,0,
export_while_battery_charging,94,2025-05-05 12:00:00;2025-05-07 12:00:00;2025-05-13 12:00:00;2025-05-14 12:00:00;2025-05-20 13:00:00;2025-05-21 12:00:00;2025-05-25 12:00:00;2025-05-26 12:00:00;2025-05-27 13:00:00;2025-05-28 14:00:00
