snapshot,export_mwh,elec_residual_mwh,elec_eps_mwh,heat_load_mwh,tes_e_mwh,batt_e_mwh,elec_ok,heat_chain_blocked,batt_full_or_cap,pv2b_at_cap,export_justified
2025-06-05 08:00:00,0.0054782275959846345,-0.016049303533103576,0.00011798572642799643,0.08953755672319083,0.15,0.052234791311010886,False,False,False,False,False
2025-06-06 08:00:00,0.007677316913530792,-0.016049303533058494,0.00011477128673524151,0.07689425603057082,0.15,0.048,False,False,False,False,False
2025-06-06 13:00:00,0.021992326225384825,-0.016049303533081212,0.00011597764694051879,0.0629866252686888,0.85,0.07760354261720638,False,False,False,False,False
2025-06-07 07:00:00,0.004979741672569613,-0.01604930353314418,0.00011475739202325582,0.09390524241700501,0.15,0.048,False,False,False,False,False
2025-06-07 08:00:00,0.012665769413200467,-0.01604930353308819,0.00011497066556261181,0.08769853116790063,0.15,0.059800255493710715,False,False,False,False,False
2025-06-10 07:00:00,0.002615825891520289,-0.016049303533146694,0.00011612317404785332,0.1039049438738954,0.15,0.048,False,False,False,False,False
2025-06-10 08:00:00,0.015309900796930146,-0.01604930353308265,0.00011830466356171736,0.09712353713876284,0.15,0.048,False,False,False,False,False
2025-06-10 12:00:00,0.021317601068738975,-0.016049303533149373,0.00011915401605635063,0.08287108908526392,0.85,0.048,False,False,False,False,False
2025-06-10 13:00:00,0.057436849639477455,-0.01604930353308873,0.00011854265451431127,0.07988267255791737,0.85,0.048,False,False,False,False,False
2025-06-10 14:00:00,0.025553233279714954,-0.016049303533058498,0.0001181120087352415,0.08057230714115118,0.85,0.07117142512806449,False,False,False,False,False
2025-06-11 06:00:00,0.0071695017686545,-0.00231827538462077,0.00010540930923076924,0.10551409123477432,0.15,0.048,False,False,False,False,False
2025-06-11 07:00:00,0.02604732170677718,-0.002894501741063935,0.00010675383739579607,0.09999701456890375,0.15,0.048,False,False,False,False,False
2025-06-11 08:00:00,0.041920320630554515,-0.003365715264313701,0.0001078533356167263,0.09344548602818248,0.15,0.048,False,False,False,False,False
2025-06-11 09:00:00,0.01879560601503954,-0.011456897111807567,0.00010856297236896243,0.08873298304275137,0.23036430358429674,0.048,False,False,False,False,False
2025-06-11 12:00:00,0.06248784428896508,-0.003964464829155169,0.00010925041793470484,0.07976773346071173,0.85,0.048,False,False,False,False,False
2025-06-11 13:00:00,0.07940607474165028,-0.003897678703040662,0.00010909458364042934,0.07677931693336518,0.85,0.048,False,False,False,False,False
2025-06-11 14:00:00,0.0716928005039467,-0.0038427843099336327,0.00010896649672316637,0.07758389061380462,0.85,0.048,False,False,False,False,False
2025-06-11 15:00:00,0.05817725013457896,-0.004143515007156852,0.00010966820168336315,0.07965279436350609,0.85,0.048,False,False,False,False,False
2025-06-11 16:00:00,0.0451111052232843,-0.005261875446587575,0.00011186795517710197,0.08367566276570337,0.8482999999999999,0.048,False,False,False,False,False
2025-06-12 06:00:00,0.013080632302672666,-0.0025817207602854744,0.00010602401510733453,0.08735371387628374,0.15,0.048,False,False,False,False,False
2025-06-12 07:00:00,0.03270562558435262,-0.002761377778177603,0.00010644321481574241,0.08264121089085263,0.15,0.048,False,False,False,False,False
2025-06-12 08:00:00,0.04828135626487322,-0.005761202812164153,0.00010665545732647586,0.07735401241939335,0.15,0.048,False,False,False,False,False
2025-06-12 09:00:00,0.05345169314574689,1.5014031684579265e-15,0.00010678734923524151,0.0734460831144017,0.15,0.048,True,False,False,False,False
2025-06-12 10:00:00,0.05474459388017845,-0.003028742331843989,0.00010706706544096601,0.06965309290661571,0.15,0.048,False,False,False,False,False
2025-06-12 11:00:00,0.06145965721581978,-0.003116262936487941,0.00010727128018515207,0.06804394554573681,0.15,0.048,False,False,False,False,False
2025-06-12 12:00:00,0.010135831334280808,-0.006282303657417996,0.000107269597480322,0.06586010269882972,0.4142283573851225,0.048,False,False,False,False,False
2025-06-12 14:00:00,0.07659611802043616,-0.0033189060630622533,0.00010774411414713775,0.06402107714353951,0.85,0.048,False,False,False,False,False
2025-06-12 15:00:00,0.052676505745947476,-0.016049303533104665,0.00010899600717978534,0.06574516360162408,0.85,0.048,False,False,False,False,False
2025-06-12 16:00:00,0.03671064097782674,-0.016049303533059212,0.0001117167639208408,0.06907839742058752,0.8482999999999999,0.05131250714515618,False,False,False,False,False
2025-06-13 06:00:00,0.004703316291738608,-0.00604997766549719,0.00011411661455277281,0.07850340339144975,0.15,0.048,False,False,False,False,False
2025-06-13 07:00:00,0.019300615967044788,-0.0062823105201711416,0.00011465872454695886,0.07287138762837354,0.15,0.048,False,False,False,False,False
2025-06-13 08:00:00,0.028043623765694164,-0.010074060507172347,0.00011483079588908766,0.06965309290661571,0.15,0.048,False,False,False,False,False
2025-06-13 09:00:00,0.008524109833026785,-0.0160493035330703,0.00011490582667262971,0.06563022450441844,0.2294231373590582,0.048,False,False,False,False,False
2025-06-13 12:00:00,0.05441543833709322,-0.016049303533055094,0.00011592155454114491,0.05781436589443516,0.85,0.048,False,False,False,False,False
2025-06-13 13:00:00,0.06943756246369945,-0.013499535775631514,0.0001161801145147585,0.05632015763076189,0.85,0.048,False,False,False,False,False
2025-06-13 14:00:00,0.009335513386538196,-0.01604930353310733,0.00011686493508989267,0.055400644853116784,0.85,0.09592315665851589,False,False,False,False,False
2025-06-14 07:00:00,0.018202867548954366,-0.006380477166816601,0.0001148877800559034,0.09252597325053738,0.15,0.048,False,False,False,False,False
2025-06-14 08:00:00,0.019434772622281264,-0.006973528707611809,0.00011511116397763864,0.08643420109863865,0.15,0.048,False,False,False,False,False
