check,violations,examples
import_and_export_same_hour,5,2025-07-02 11:00:00;2025-07-02 12:00:00;2025-07-02 13:00:00;2025-07-02 14:00:00;2025-07-16 13:00:00
battery_charge_and_discharge_same_hour,0,
tes_charge_and_dispatch_same_hour,0,
export_while_import_or_batt_discharge,0,
dh_used_while_tes_not_dispatching,0,
export_while_battery_charging,72,2025-05-28 10:00:00;2025-05-29 09:00:00;2025-06-05 09:00:00;2025-06-06 08:00:00;2025-06-07 10:00:00;2025-06-08 09:00:00;2025-06-10 10:00:00;2025-06-11 13:00:00;2025-06-13 10:00:00;2025-06-14 10:00:00
