timestamp,electricity_inflexible_load_mwh,electricity_charge_mwh,electricity_dispatch_mwh,electricity_load_mwh,heat_inflexible_load_mwh,heat_charge_mwh,heat_dispatch_mwh,heat_load_mwh,pv_generation_mwh,grid_import_mwh,grid_export_mwh,heat_pump_output,dh_import,grid_import_emissions_kg,grid_export_emissions_kg,dh_emissions_kg,total_load_mwh
2025-02-25 21:00:00,0.02231659686896243,0.009564255800983898,0.0,0.03188085266994633,0.2088443396226415,0.12425096631336659,0.0,0.3330953059360081,-0.0,0.14943753830416995,-0.0,0.3330953059359939,-0.0,8.562770944828937,-0.0,-0.0,0.36497615860595445
2025-02-25 22:00:00,0.019833269490161,0.008499972638640427,0.0,0.028333242128801426,0.18022450441843801,-0.0,0.0,0.18022450441843801,-0.0,0.08209662935408808,-0.0,0.1802245044182064,-0.0,4.704136861989247,-0.0,-0.0,0.20855774654723944
2025-02-25 23:00:00,0.01711673139177102,0.0073357420250447225,0.0,0.024452473416815744,0.13217996178648198,-0.0,0.0,0.13217996178648198,-0.0,0.06852828172681578,-0.0,0.1321799617858521,-0.0,3.9266705429465443,-0.0,-0.0,0.15663243520329773
2025-02-26 00:00:00,0.014884232511627911,0.006378956790697676,0.0,0.021263189302325586,0.11137598519226177,0.132409839981,0.0,0.24378582517326178,-0.0,0.11203301598392026,-0.0,0.24409194762236636,-0.0,6.419491815878631,-0.0,-0.0,0.2650490144755874
2025-02-26 01:00:00,0.012843318688282647,0.00550427943783542,0.0,0.018347598126118067,0.11838727012180558,0.132409839981,0.0,0.2507971101028056,-0.0,0.11133369972053456,-0.0,0.25110323255158723,-0.0,6.3794209939866295,-0.0,-0.0,0.26914470822892367
2025-02-26 02:00:00,0.011405950114937388,0.004888264334973166,0.0,0.016294214449910555,0.12034123477430139,0.132409839981,0.0,0.2527510747553014,-0.0,0.10924037345905138,-0.0,0.2530571972038673,-0.0,6.259473399203644,-0.0,-0.0,0.269045289205212
2025-02-26 03:00:00,0.010476978862701252,0.004490133798300536,0.0,0.01496711266100179,0.12988117984236922,0.132409839981,0.0,0.2622910198233692,-0.0,0.19943405274580345,-0.0,0.5450763425315306,-0.0,11.427571222334537,-0.0,-0.0,0.27725813248437103
2025-02-26 04:00:00,0.009972211216905188,0.004273804807245081,0.0,0.014246016024150269,0.1605699187962742,0.132409839981,0.0,0.2929797587772742,-0.0,0.245,-0.0,0.7256573536533802,-0.0,14.038499999999999,-0.0,-0.0,0.3072257748014245
2025-02-26 05:00:00,0.009939531638640428,0.004259799273703041,0.0,0.01419933091234347,0.2396480176737521,-0.0,0.0,0.2396480176737521,-0.0,0.00709625200006472,-0.0,-0.0,-0.0,0.40661523960370843,-0.0,-0.0,0.2538473485860956
2025-02-26 06:00:00,0.010738775832289804,0.004602332499552773,0.0,0.015341108331842577,0.2389583830905183,-0.0,0.0,0.2389583830905183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2542994914223609
2025-02-26 07:00:00,0.013745204777280858,0.005890802047406082,0.0,0.01963600682468694,0.23194709816097447,0.08513968737624052,0.0,0.317086785537215,0.00115628238825,-0.0,0.0010984682688375,0.11383541543734377,-0.0,-0.0,0.06294223180438875,-0.0,0.33672279236190195
2025-02-26 08:00:00,0.018212829181127013,0.007805498220483004,0.0,0.026018327401610017,0.22964831621686171,0.04130973942005928,0.0,0.270958055636921,0.0207254432237,-0.0,-0.0,0.27095805563737363,-0.0,-0.0,-0.0,-0.0,0.296976383038531
