snapshot,export_mwh,elec_residual_mwh,elec_eps_mwh,heat_load_mwh,tes_e_mwh,batt_e_mwh,elec_ok,heat_chain_blocked,batt_full_or_cap,pv2b_at_cap,export_justified
2025-05-28 08:00:00,0.014934274190701587,-0.03696146571834284,0.00012630401944096602,0.1811111774540244,0.15,0.048,False,False,False,False,False
2025-05-28 09:00:00,0.031274621148023526,-0.03482737809866451,0.00012859576096601073,0.1727370432290423,0.15,0.048,False,False,False,False,False
2025-05-28 10:00:00,0.044509505643608095,-0.03313035256776552,0.0001299110817844365,0.16469130642464772,0.1503006012024048,0.048,False,False,False,False,False
2025-05-28 11:00:00,0.04903927322479437,-0.03241940786256867,0.0001302504146153846,0.16107893479818486,0.15,0.048,False,False,False,False,False
2025-05-28 12:00:00,0.10904515777189999,-0.033362501591035806,0.00013004904554561716,0.1569739670408407,0.15,0.048,False,False,False,False,False
2025-05-28 13:00:00,0.04465054981279069,-0.033119107949744736,0.00012923274848389982,0.1528689992834965,0.15,0.11204157811442861,False,False,False,False,False
2025-05-28 14:00:00,0.027802275749949996,-0.1864815924303062,0.00012857253728980323,0.15533197993790304,0.85,0.1879362419585086,False,False,True,False,False
2025-05-28 15:00:00,0.015224573654465003,-0.03699685316803708,0.00012987903577370305,0.16075053737759734,0.85,0.2638309058025886,False,False,True,False,False
2025-05-29 08:00:00,0.015102411219911405,-0.0389595752907062,0.00012704973694096602,0.18094697874373059,0.15,0.048,False,False,False,False,False
2025-05-29 09:00:00,0.029938633833132756,-0.03680180828502634,0.00012935525434257602,0.17290124193933604,0.15,0.048,False,False,False,False,False
2025-05-29 10:00:00,0.0405564801198862,-0.035052651389604395,0.00013057171020125225,0.16501970384523526,0.1503006012024048,0.048,False,False,False,False,False
2025-05-29 11:00:00,0.046481695745366605,-0.03429462550345187,0.0001308538631529517,0.16140733221877238,0.15,0.048,False,False,False,False,False
2025-05-29 12:00:00,0.10926664358674999,-0.03530815825295745,0.00013027420516547407,0.15746656317172197,0.15,0.048,False,False,False,False,False
2025-05-29 13:00:00,0.039921690625624104,-0.03513114023907456,0.0001297274077101968,0.15385419154525914,0.15,0.11801402458373228,False,False,False,False,False
2025-05-29 14:00:00,0.028319731130249996,-0.19661024779800287,0.00012969793351520572,0.15664556962025317,0.85,0.19390868842781228,False,False,True,False,False
2025-05-29 15:00:00,0.016197996706929993,-0.039324859659955635,0.00013209573594812166,0.16255672319082876,0.85,0.2698033522718923,False,False,True,False,False
2025-06-01 07:00:00,0.0008761570296859957,-0.038160168903063875,0.00012109609197227193,0.1811111774540244,0.15,0.048,False,False,False,False,False
2025-06-01 08:00:00,0.018077344920601146,-0.03500618211425016,0.00012137728311270127,0.1692888703128732,0.15,0.048,False,False,False,False,False
2025-06-01 09:00:00,0.005200131491131091,-0.058998994896865505,0.00012144276066189624,0.1609147360878911,0.27551723545513335,0.05432248261338021,False,False,False,False,False
2025-06-03 07:00:00,0.0015245620788883157,-0.03243561054485125,0.00012291061763416815,0.16058633866730357,0.15,0.05005404315021116,False,False,False,False,False
2025-06-05 07:00:00,0.007096783100495503,-0.030235284633444777,0.00012257085252683365,0.1367775256747074,0.15,0.048,False,False,False,False,False
2025-06-05 08:00:00,0.023665903704519355,-0.027775195275957665,0.00012569389489713775,0.12791079531884403,0.15,0.048,False,False,False,False,False
2025-06-05 09:00:00,0.005366939464491812,-0.059210895862211205,0.00012740540506708407,0.12150704561738716,0.3015815198782491,0.051424225831666615,False,False,False,False,False
2025-06-06 07:00:00,0.00679173005931569,-0.02510715842710828,0.00012081466779516995,0.11723787914974923,0.15,0.048,False,False,False,False,False
2025-06-06 08:00:00,0.02537429791442722,-0.02309551931855341,0.00012110183819320216,0.10984893718652974,0.15,0.048,False,False,False,False,False
2025-06-06 09:00:00,0.007560311730944071,-0.054997367727087326,0.00012115630162343471,0.10426618103654169,0.30765368915602254,0.048,False,False,False,False,False
2025-06-06 12:00:00,0.00398908991004586,-0.01995238771215807,0.00012227596874776387,0.0934290661571531,0.85,0.1051687800087033,False,False,False,False,False
