snapshot,export_mwh,elec_residual_mwh,elec_eps_mwh,heat_load_mwh,tes_e_mwh,batt_e_mwh,elec_ok,heat_chain_blocked,batt_full_or_cap,pv2b_at_cap,export_justified
2025-05-28 08:00:00,0.014934274190672371,-0.0448526715506634,0.00011841281360867622,0.12677782421781708,0.15,0.048,False,False,False,False,False
2025-05-28 09:00:00,0.03127462114808089,-0.04340610638840735,0.00012001703267620751,0.1209159302603296,0.15,0.048,False,False,False,False,False
2025-05-28 10:00:00,0.022302812381631135,-0.06547914369465116,0.00012093775724910555,0.11528391449725339,0.1503006012024048,0.048,False,False,False,False,False
2025-05-28 11:00:00,0.047697571663736046,-0.04290684967987703,0.00012117529023076925,0.1127552543587294,0.15,0.048,False,False,False,False,False
2025-05-28 12:00:00,0.10904515777189999,-0.0663985847543319,0.00012103433188193202,0.1098817769285885,0.15,0.048,False,False,False,False,False
2025-05-28 13:00:00,0.039371915075445914,-0.06674950232505823,0.00012046292393872989,0.10700829949844756,0.15,0.11731289665319788,False,False,False,False,False
2025-05-28 14:00:00,0.027802275749949996,-0.22038232708089514,0.00012000077610286225,0.10873238595653213,0.85,0.19320756049727789,False,False,True,False,False
2025-05-28 15:00:00,0.015224573654465003,-0.0710281790317682,0.00012091532504159214,0.11252537616431814,0.85,0.2691022243413579,False,False,True,False,False
2025-05-29 08:00:00,0.01510241121990049,-0.04707449637300749,0.00011893481585867621,0.1266628851206114,0.15,0.048,False,False,False,False,False
2025-05-29 09:00:00,0.025660901541911873,-0.05011126068382113,0.00012054867803980323,0.12103086935753524,0.15,0.048,False,False,False,False,False
2025-05-29 10:00:00,0.0173549484023576,-0.06864682941579964,0.00012140019714087658,0.11551379269166467,0.1503006012024048,0.048,False,False,False,False,False
2025-05-29 11:00:00,0.04530794099248074,-0.04478631576816461,0.00012159770420706619,0.11298513255314066,0.15,0.048,False,False,False,False,False
2025-05-29 12:00:00,0.10926664358674999,-0.06924568038508558,0.00012119194361583185,0.11022659422020539,0.15,0.048,False,False,False,False,False
2025-05-29 13:00:00,0.0377219941136379,-0.07664133480370303,0.00012080918539713775,0.1076979340816814,0.18133365440352642,0.12021067231184002,False,False,False,False,False
2025-05-29 14:00:00,0.028319731130249996,-0.22421144653935599,0.00012078855346064401,0.10965189873417722,0.85,0.19610533615592002,False,False,True,False,False
2025-05-29 15:00:00,0.016197996706929993,-0.0741477231574656,0.00012246701516368516,0.11378970623358013,0.85,0.272,False,False,True,False,False
2025-06-06 12:00:00,0.007677316913530792,-0.08301401941579604,0.00011559317812343472,0.06540034631000717,0.85,0.05347063476129759,False,False,False,False,False
2025-06-06 13:00:00,0.018782190642355527,-0.035639565432399996,0.00011597764694051879,0.0629866252686888,0.85,0.08627986370702934,False,False,False,False,False
