check,violations,examples
import_and_export_same_hour,17,2025-05-28 12:00:00;2025-05-28 13:00:00;2025-05-28 14:00:00;2025-05-28 15:00:00;2025-05-29 12:00:00;2025-05-29 13:00:00;2025-05-29 14:00:00;2025-05-29 15:00:00;2025-07-02 11:00:00;2025-07-02 12:00:00
battery_charge_and_discharge_same_hour,0,
tes_charge_and_dispatch_same_hour,17,2025-05-28 12:00:00;2025-05-28 13:00:00;2025-05-28 14:00:00;2025-05-28 15:00:00;2025-05-29 12:00:00;2025-05-29 13:00:00;2025-05-29 14:00:00;2025-05-29 15:00:00;2025-07-02 11:00:00;2025-07-02 12:00:00
export_while_import_or_batt_discharge,0,
dh_used_while_tes_not_dispatching,0,
export_while_battery_charging,72,2025-05-28 13:00:00;2025-05-29 13:00:00;2025-06-06 13:00:00;2025-06-08 12:00:00;2025-06-09 12:00:00;2025-06-10 14:00:00;2025-06-11 16:00:00;2025-06-12 16:00:00;2025-06-13 12:00:00;2025-06-14 13:00:00
