snapshot,export_mwh,elec_residual_mwh,elec_eps_mwh,heat_load_mwh,tes_e_mwh,batt_e_mwh,elec_ok,heat_chain_blocked,batt_full_or_cap,pv2b_at_cap,export_justified
2025-07-01 07:00:00,0.010089462007693752,-3.3632818752238336e-14,0.00012149652247316637,0.07060544542631957,0.15,0.048,True,False,False,False,False
2025-07-01 08:00:00,0.027071526982160758,-4.812122922359663e-14,0.0001246686446690519,0.0689634583233819,0.15,0.048,True,False,False,False,False
2025-07-01 09:00:00,0.005268916890797413,2.040034807748725e-14,0.00012652042033542042,0.06453009314545019,0.15,0.08148153210440526,True,False,False,False,False
2025-07-02 06:00:00,0.004918308973387755,2.1826290774740187e-14,0.00011687486996422183,0.0600967279675185,0.15,0.048,True,False,False,False,False
2025-07-02 07:00:00,0.02172152878013875,1.3416351363204626e-14,0.00012129812620751342,0.054678170527824206,0.15,0.048,True,False,False,False,False
2025-07-02 08:00:00,0.035683191547197755,2.147587663259287e-15,0.00012511604069320216,0.05336458084547409,0.15,0.048,True,False,False,False,False
2025-07-02 09:00:00,0.049236384704319756,-1.4838824613505608e-14,0.00012758623916368517,0.05008060663959876,0.15,0.048,True,False,False,False,False
2025-07-02 10:00:00,0.05845289181247776,-3.2921582127087845e-14,0.00012930470353756708,0.04778182469548603,0.15,0.048,True,False,False,False,False
2025-07-02 11:00:00,0.09493660473448975,3.273423199168235e-14,0.00013085127244633274,0.04728922856460473,0.15,0.048,True,False,False,False,False
2025-07-02 12:00:00,0.07258494615104949,-4.293787547737793e-14,0.00013122656863595708,0.04318426080726057,0.15,0.07214196870937381,True,False,False,False,False
2025-07-02 13:00:00,0.020832196847919756,7.216449660063518e-16,0.00013185841606440073,0.042527465966085504,0.15,0.1480366325534538,True,False,True,False,False
2025-07-03 06:00:00,0.0059796845245157545,4.704917011544296e-14,0.00011819357623434705,0.054185574396942916,0.15,0.048,True,False,False,False,False
2025-07-03 07:00:00,0.02487674830997775,1.7891937931224788e-14,0.0001201376291100179,0.0489312156675424,0.15,0.048,True,False,False,False,False
2025-07-03 08:00:00,0.04105143564678175,3.0943997364474285e-14,0.00012136413978533095,0.048438619536661086,0.15,0.048,True,False,False,False,False
2025-07-03 09:00:00,0.05606857497120476,-1.1626116735996561e-14,0.00012230910895348837,0.04531884404107953,0.15,0.048,True,False,False,False,False
2025-07-03 10:00:00,0.06711427655363976,-3.2557290197132716e-14,0.00012336728656976744,0.04334845951755434,0.15,0.048,True,False,False,False,False
2025-07-03 11:00:00,0.0703709659985445,3.040970253387343e-14,0.00012430469023703042,0.043020062096966794,0.15,0.050250898822765205,True,False,False,False,False
2025-07-04 06:00:00,0.00759352611233775,-1.9317880628477724e-14,0.00011798188876118069,0.05057320277048006,0.15,0.048,True,False,False,False,False
2025-07-04 07:00:00,0.026063177225846754,1.5026174748911103e-14,0.00011994420985241503,0.045647241461667064,0.15,0.048,True,False,False,False,False
2025-07-04 08:00:00,0.04229017544100676,4.669181707939174e-14,0.0001210386457021467,0.045647241461667064,0.15,0.048,True,False,False,False,False
2025-07-04 09:00:00,0.05715367453983276,-2.09277040141842e-14,0.00012182969761627908,0.043020062096966794,0.15,0.048,True,False,False,False,False
2025-07-04 10:00:00,0.004862748068862824,4.956104970865738e-14,0.00012306257495974958,0.04154227370432291,0.15,0.10485990717849601,True,False,False,False,False
2025-07-05 06:00:00,0.004183631087442753,-4.2934406030425976e-14,0.00011793474613595707,0.04860281824695486,0.15,0.048,True,False,False,False,False
2025-07-05 07:00:00,0.019517543345329753,2.200323256928982e-14,0.00011998789648032201,0.04367685693814187,0.15,0.048,True,False,False,False,False
2025-07-05 08:00:00,0.03628601052556676,-4.2032349822918036e-14,0.00012111382371645798,0.0440052543587294,0.15,0.048,True,False,False,False,False
2025-07-05 09:00:00,0.05227965078022775,1.1983469772047783e-14,0.00012196668657871199,0.041378074994029145,0.15,0.048,True,False,False,False,False
2025-07-05 10:00:00,0.05871836035059574,1.2170819907453279e-14,0.00012328203809481217,0.03990028660138524,0.15,0.048,True,False,False,False,False
2025-07-05 11:00:00,0.06859635425676175,4.544281617668844e-14,0.00012461596258944545,0.040064485311679006,0.15,0.048,True,False,False,False,False
2025-07-05 12:00:00,0.0030012695364372093,-1.1803058530546195e-14,0.0001248875924373882,0.03661631239550992,0.15,0.11970733311113074,True,False,False,False,False
2025-07-06 06:00:00,0.004048112601019758,-3.774758283725532e-14,0.00011788565760286226,0.057633747313112015,0.15,0.048,True,False,False,False,False
2025-07-06 07:00:00,0.023323646726140745,-3.6137759451548845e-14,0.00011997553874776386,0.05221518987341773,0.15,0.048,True,False,False,False,False
2025-07-06 08:00:00,0.039076282873330745,-5.547645676173829e-15,0.00012119084300089446,0.05139419632194889,0.15,0.048,True,False,False,False,False
2025-07-06 09:00:00,0.05388420354068074,-1.2524703496552547e-15,0.00012184949938729876,0.04827442082636733,0.15,0.048,True,False,False,False,False
2025-07-06 10:00:00,0.04991908101080776,1.2521234049600594e-14,0.00012265951862701252,0.046304036302842126,0.15,0.06293886779548283,True,False,False,False,False
2025-07-07 06:00:00,0.0005237085392777568,2.0393409183583344e-14,0.0001178711203354204,0.06288810604251253,0.15,0.048,True,False,False,False,False
2025-07-07 07:00:00,0.004291193600296355,-3.882311139236094e-14,0.00012019756100626118,0.057141151182230725,0.15,0.057009343884317776,True,False,False,False,False
