timestamp,electricity_load_mwh,heat_load_mwh,pv_generation_mwh,grid_import_net_mwh,grid_import_gross_mwh,grid_export_net_mwh,grid_export_gross_mwh,dh_heat_delivered_mwh_th,hp_output_mwh_th,grid_import_emissions_kg,dh_emissions_kg,total_emissions_kg,dh_to_building_mwh_th,grid_import_mwh,grid_export_mwh,total_load_mwh,hs_to_storage_mwh_th
2025-01-01 00:00:00,0.02204255750447227,0.18012598519226178,-0.0,0.0220425575045,0.022492405616836738,-0.0,-0.0,0.180125985192,0.0,0.0,0.0,0.0,0.180125985192,0.0220425575045,-0.0,0.20216854269673404,-0.0
2025-01-01 01:00:00,0.020714176153846162,0.14088249343205161,-0.0,0.0207141761538,0.021136914442653063,-0.0,-0.0,0.140882493432,0.0,0.0,0.0,0.0,0.140882493432,0.0207141761538,-0.0,0.16159666958589777,-0.0
2025-01-01 02:00:00,0.018869869762969588,0.13464294244088845,-0.0,0.018869869763,0.019254969145918368,-0.0,-0.0,0.134642942441,0.0,0.0,0.0,0.0,0.134642942441,0.018869869763,-0.0,0.15351281220385804,-0.0
2025-01-01 03:00:00,0.0169502267039356,0.14794303797468356,-0.0,0.0169502267039,0.017296149697857144,-0.0,-0.0,0.147943037975,0.0,0.0,0.0,0.0,0.147943037975,0.0169502267039,-0.0,0.16489326467861914,-0.0
2025-01-01 04:00:00,0.015360672048300536,0.196874253642226,-0.0,0.015360672048299998,0.01567415515132653,-0.0,-0.0,0.196874253642,0.0,0.0,0.0,0.0,0.196874253642,0.015360672048299998,-0.0,0.21223492569052654,-0.0
2025-01-01 05:00:00,0.014309898179785334,0.29210950561261045,-0.0,0.0143098981798,0.014601936918163265,-0.0,-0.0,0.292109505613,0.0,0.0,0.0,0.0,0.292109505613,0.0143098981798,-0.0,0.3064194037923958,-0.0
2025-01-01 06:00:00,0.014023242262969587,0.2981848578934798,-0.0,0.014023242263,0.014309430880612246,-0.0,-0.0,0.298184857893,0.0,0.0,0.0,0.0,0.298184857893,0.014023242263,-0.0,0.3122081001564494,-0.0
2025-01-01 07:00:00,0.014700409494633271,0.28800453785526625,-0.0,0.0147004094946,0.015000417851632652,-0.0,-0.0,0.288004537855,0.0,0.0,0.0,0.0,0.288004537855,0.0147004094946,-0.0,0.3027049473498995,-0.0
2025-01-01 08:00:00,0.01702918997763864,0.2811081920229281,-0.0,0.0170291899776,0.017376724466938775,-0.0,-0.0,0.281108192023,0.0,0.0,0.0,0.0,0.281108192023,0.0170291899776,-0.0,0.2981373820005667,-0.0
2025-01-01 09:00:00,0.021246251417710194,0.2664945068067829,0.000950093351346,0.0212462514177,0.021679848385408165,-0.0,-0.0,0.266494506807,0.0,0.0,0.0,0.0,0.266494506807,0.0212462514177,-0.0,0.2877407582244931,0.0002999999999999947
2025-01-01 10:00:00,0.02597472224060823,0.25697098160974446,0.0116201746434,0.0259747222406,0.026504818612857143,-0.0,-0.0,0.25697098161,0.0,0.0,0.0,0.0,0.25697098161,0.0259747222406,-0.0,0.28294570385035267,0.0002999999999999947
2025-01-01 11:00:00,0.03025534616726297,0.24777585383329354,0.0178904877366,0.0302553461673,0.03087280221153061,-0.0,-0.0,0.24777585383299996,0.0,0.0,0.0,0.0,0.24777585383299996,0.0302553461673,-0.0,0.2780312000005565,0.0002999999999999947
2025-01-01 12:00:00,0.03288902657871198,0.24334248865536184,0.0210266480723,0.0328890265787,0.0335602312027551,-0.0,-0.0,0.243342488655,0.0,0.0,0.0,0.0,0.243342488655,0.0328890265787,-0.0,0.27623151523407385,0.0002999999999999947
2025-01-01 13:00:00,0.03395630325134168,0.24022271315978022,0.0196307259906,0.0339563032513,0.03464928903193878,-0.0,-0.0,0.24022271316,0.0,0.0,0.0,0.0,0.24022271316,0.0339563032513,-0.0,0.2741790164111219,0.0002999999999999947
2025-01-01 14:00:00,0.03443777103756708,0.24022271315978022,0.0143596890001,0.0344377710376,0.03514058269142857,-0.0,-0.0,0.24022271316,0.0,0.0,0.0,0.0,0.24022271316,0.0344377710376,-0.0,0.2746604841973473,0.0002999999999999947
2025-01-01 15:00:00,0.03507017987924865,0.24711905899211845,0.00493582135715,0.0350701798792,0.035785897835918366,-0.0,-0.0,0.24711905899199998,0.0,0.0,0.0,0.0,0.24711905899199998,0.0350701798792,-0.0,0.2821892388713671,0.005492974526396216
2025-01-01 16:00:00,0.039098806153846165,0.26009075710532603,-0.0,0.0390988061538,0.03989674097326531,-0.0,-0.0,0.260090757105,0.0,0.0,0.0,0.0,0.260090757105,0.0390988061538,-0.0,0.2991895632591722,-0.0
2025-01-01 17:00:00,0.04604894825581395,0.2728982565082398,-0.0,0.0460489482558,0.04698872271,-0.0,-0.0,0.272898256508,0.0,0.0,0.0,0.0,0.272898256508,0.0460489482558,-0.0,0.31894720476405375,-0.0
2025-01-01 18:00:00,0.045008395827370304,0.2843921662288034,-0.0,-0.0,-0.0,-0.0,-0.0,0.284392166229,0.0,-0.0,0.0,0.0,0.284392166229,-0.0,-0.0,0.32940056205617374,-0.0
2025-01-01 19:00:00,0.03965767163237925,0.2917811081920229,-0.0,0.03421852239222029,0.03491685958389826,-0.0,-0.0,0.291781108192,0.0,0.0,0.0,0.0,0.291781108192,0.03421852239222029,-0.0,0.3314387798244022,-0.0
2025-01-01 20:00:00,0.035791301310375674,0.2888255314067351,-0.0,0.0357913013104,0.03652173603102041,-0.0,-0.0,0.288825531407,0.0,0.0,0.0,0.0,0.288825531407,0.0357913013104,-0.0,0.3246168327171108,-0.0
