check,violations,examples
import_and_export_same_hour,3,2025-07-02 11:00:00;2025-07-02 12:00:00;2025-07-02 13:00:00
battery_charge_and_discharge_same_hour,0,
tes_charge_and_dispatch_same_hour,0,
export_while_import_or_batt_discharge,0,
dh_used_while_tes_not_dispatching,137,2025-01-16 14:00:00;2025-01-16 15:00:00;2025-01-16 16:00:00;2025-01-16 17:00:00;2025-01-16 18:00:00;2025-01-16 19:00:00;2025-01-16 20:00:00;2025-01-16 21:00:00;2025-01-16 22:00:00;2025-01-16 23:00:00
export_while_battery_charging,7,2025-07-01 09:00:00;2025-07-02 12:00:00;2025-07-03 11:00:00;2025-07-04 10:00:00;2025-07-05 12:00:00;2025-07-06 10:00:00;2025-07-07 07:00:00
