check,violations,examples
import_and_export_same_hour,17,2025-05-28 12:00:00;2025-05-28 13:00:00;2025-05-28 14:00:00;2025-05-28 15:00:00;2025-05-29 12:00:00;2025-05-29 13:00:00;2025-05-29 14:00:00;2025-05-29 15:00:00;2025-07-02 11:00:00;2025-07-02 12:00:00
battery_charge_and_discharge_same_hour,1015,2025-05-28 08:00:00;2025-05-28 09:00:00;2025-05-28 10:00:00;2025-05-28 11:00:00;2025-05-28 16:00:00;2025-05-29 08:00:00;2025-05-29 09:00:00;2025-05-29 10:00:00;2025-05-29 11:00:00;2025-05-29 16:00:00
tes_charge_and_dispatch_same_hour,17,2025-05-28 12:00:00;2025-05-28 13:00:00;2025-05-28 14:00:00;2025-05-28 15:00:00;2025-05-29 12:00:00;2025-05-29 13:00:00;2025-05-29 14:00:00;2025-05-29 15:00:00;2025-07-02 11:00:00;2025-07-02 12:00:00
export_while_import_or_batt_discharge,8,2025-06-13 10:00:00;2025-06-14 11:00:00;2025-06-27 10:00:00;2025-06-28 12:00:00;2025-07-11 11:00:00;2025-07-24 11:00:00;2025-07-25 11:00:00;2025-07-28 13:00:00
dh_used_while_tes_not_dispatching,0,
export_while_battery_charging,44,2025-05-28 10:00:00;2025-05-28 13:00:00;2025-05-29 13:00:00;2025-06-12 08:00:00;2025-07-01 07:00:00;2025-07-01 08:00:00;2025-07-02 06:00:00;2025-07-02 07:00:00;2025-07-02 08:00:00;2025-07-02 09:00:00
