timestamp,electricity_load_mwh,heat_load_mwh,pv_generation_mwh,grid_import_mwh,grid_import_gross_mwh,grid_export_mwh,grid_export_gross_mwh,dh_heat_delivered_mwh_th,total_load_mwh,grid_import_emissions_kg,dh_emissions_kg,total_emissions_kg
2025-07-04 14:00:00,0.02483400462880143,0.035631120133747314,0.0941360103444,-0.0,-0.0,0.027836905429819998,0.0293020057156,0.0356311201337,0.06046512476254874,-0.0,1.20789497253243,1.20789497253243
2025-07-04 15:00:00,0.028600735022361358,0.03546692142345355,0.0772994416363,-0.0,-0.0,0.008263771283204994,0.008698706613899994,0.0354669214235,0.06406765644581491,-0.0,1.2023286362566499,1.2023286362566499
2025-07-04 16:00:00,0.03633749115831843,0.03760150465727251,0.0607974821458,-0.0,-0.0,-0.0,-0.0,0.0376015046573,0.07393899581559094,-0.0,1.27469100788247,1.27469100788247
2025-07-04 17:00:00,0.0379809699686941,0.040064485311679006,0.0430128499193,-0.0,-0.0,-0.0,-0.0,0.0400644853117,0.0780454552803731,-0.0,1.35818605206663,1.35818605206663
2025-07-04 18:00:00,0.03393078521914133,0.04170647241461667,0.0295560798248,0.0043747053942999985,0.004463985096224489,-0.0,-0.0,0.0417064724146,0.075637257633758,0.2506706190933899,1.41384941485494,1.66452003394833
2025-07-04 19:00:00,0.030756319226296965,0.044990446620492,0.0196215335185,-0.0,-0.0,-0.0,-0.0,0.0449904466205,0.07574676584678897,-0.0,1.52517614043495,1.52517614043495
2025-07-04 20:00:00,0.02805525004025045,0.0440052543587294,0.0064240898647,0.004193553388888011,0.004279136111110216,-0.0,-0.0,0.0440052543587,0.07206050439897985,0.24029060918328304,1.49177812275993,1.732068731943213
2025-07-04 21:00:00,0.024830590693202148,0.03891509433962264,-0.0,-0.0,-0.0,-0.0,-0.0,0.0389150943396,0.0637456850328248,-0.0,1.3192216981124398,1.3192216981124398
2025-07-04 22:00:00,0.02078223216010733,0.028898973011702894,-0.0,-0.0,-0.0,-0.0,-0.0,0.0288989730117,0.049681205171810225,-0.0,0.97967518509663,0.97967518509663
2025-07-04 23:00:00,0.01722179692754919,0.020689037497014572,-0.0,-0.0,-0.0,-0.0,-0.0,0.020689037497,0.037910834424563764,-0.0,0.7013583711483,0.7013583711483
2025-07-05 00:00:00,0.01484551710644007,0.02118163362789587,-0.0,-0.0,-0.0,-0.0,-0.0,0.0211816336279,0.03602715073433594,-0.0,0.71805737998581,0.71805737998581
2025-07-05 01:00:00,0.013481318801431125,0.020360640076427034,-0.0,0.0134813188014,0.013756447756530612,-0.0,-0.0,0.0203606400764,0.03384195887785816,0.7724795673202199,0.69022569858996,1.4627052659101798
2025-07-05 02:00:00,0.012736891784436495,0.02019644136613327,-0.0,0.0127368917844,0.012996828351428572,-0.0,-0.0,0.0201964413661,0.03293333315056976,0.72982389924612,0.6846593623107899,1.41448326155691
2025-07-05 03:00:00,0.01256372502236136,0.03283974205875328,-0.0,0.0125637250224,0.01282012757387755,-0.0,-0.0,0.0328397420588,0.04540346708111464,0.71990144378352,1.1132672557933199,1.8331686995768397
2025-07-05 04:00:00,0.013148907115384616,0.0459756388822546,0.00858325270792,0.00456565440748,0.004658831028040817,-0.0,-0.0,0.0459756388823,0.05912454599763922,0.261611997548604,1.5585741581099701,1.8201861556585741
2025-07-05 05:00:00,0.015183196985688732,0.04285586338667304,0.0263569926735,-0.0,-0.0,0.010615105903410001,0.011173795687800001,0.0428558633867,0.05803906037236177,-0.0,1.4528137688091298,1.4528137688091298
2025-07-05 06:00:00,0.017934746135957066,0.04860281824695486,0.0419021446117,-0.0,-0.0,0.022769028551914997,0.023967398475699998,0.048602818247,0.06653756438291192,-0.0,1.6476355385733,1.6476355385733
2025-07-05 07:00:00,0.019987896480322002,0.04367685693814187,0.0581258707039,-0.0,-0.0,0.03623107551242,0.0381379742236,0.0436768569381,0.06366475341846387,-0.0,1.48064545020159,1.48064545020159
2025-07-05 08:00:00,0.021113823716457966,0.0440052543587294,0.0770341749928,-0.0,-0.0,0.053124333712485004,0.055920351276300004,0.0440052543587,0.06511907807518737,-0.0,1.49177812275993,1.49177812275993
2025-07-05 09:00:00,0.021966686578711984,0.041378074994029145,0.0936715769035,-0.0,-0.0,0.06811964580856,0.0717048903248,0.041378074994,0.06334476157274113,-0.0,1.4027167422966,1.4027167422966
2025-07-05 10:00:00,0.02328203809481217,0.03990028660138524,0.101173402084,-0.0,-0.0,0.07399679578973999,0.07789136398919999,0.0399002866014,0.06318232469619742,-0.0,1.35261971578746,1.35261971578746
2025-07-05 11:00:00,0.024615962589445442,0.040064485311679006,0.112970894385,-0.0,-0.0,0.08393718520582,0.0883549317956,0.0400644853117,0.06468044790112445,-0.0,1.35818605206663,1.35818605206663
2025-07-05 12:00:00,0.0248875924373882,0.03661631239550992,0.118401963322,-0.0,-0.0,0.08883865234036999,0.09351437088459999,0.0366163123955,0.061503904832898124,-0.0,1.2412929902074499,1.2412929902074499
2025-07-05 13:00:00,0.025172919499105544,0.03727310723668498,0.117350526202,-0.0,-0.0,0.08756872636775499,0.0921776067029,0.0372731072367,0.06244602673579052,-0.0,1.26355833532413,1.26355833532413
2025-07-05 14:00:00,0.025724781037567084,0.03415333174110342,0.111225330718,-0.0,-0.0,0.07923669723983394,0.08340704972614099,0.0341533317411,0.0598781127786705,-0.0,1.1577979460232901,1.1577979460232901
2025-07-05 15:00:00,0.029046724414132377,0.03415333174110342,0.0991265432837,-0.0,-0.0,0.02857582792612,0.030079818869600004,0.0341533317411,0.0632000561552358,-0.0,1.1577979460232901,1.1577979460232901
2025-07-05 16:00:00,0.03630028926654741,0.03628791497492238,0.083117090595,-0.0,-0.0,0.006475961262074995,0.006816801328499995,0.0362879149749,0.07258820424146979,-0.0,1.2301603176491098,1.2301603176491098
2025-07-05 17:00:00,0.037318742616279064,0.03842249820874135,0.062615633788,-0.0,-0.0,-0.0,-0.0,0.0384224982087,0.07574124082502041,-0.0,1.30252268927493,1.30252268927493
2025-07-05 18:00:00,0.03347090955724508,0.04022868402197278,0.0441388844108,-0.0,-0.0,-0.0,-0.0,0.040228684022,0.07369959357921785,-0.0,1.3637523883458,1.3637523883458
2025-07-05 19:00:00,0.030547473649373883,0.04318426080726057,0.0268642901194,-0.0,-0.0,-0.0,-0.0,0.0431842608073,0.07373173445663446,-0.0,1.4639464413674699,1.4639464413674699
2025-07-05 20:00:00,0.02794300369856888,0.04219906854549797,0.00845128100869,-0.0,-0.0,-0.0,-0.0,0.0421990685455,0.07014207224406685,-0.0,1.43054842369245,1.43054842369245
2025-07-05 21:00:00,0.02469946410107335,0.03760150465727251,-0.0,-0.0,-0.0,-0.0,-0.0,0.0376015046573,0.06230096875834586,-0.0,1.27469100788247,1.27469100788247
2025-07-05 22:00:00,0.02068858049194991,0.027749582039646524,-0.0,-0.0,-0.0,-0.0,-0.0,0.0277495820396,0.04843816253159643,-0.0,0.9407108311424399,0.9407108311424399
2025-07-05 23:00:00,0.0172990147137746,0.023152018151421063,-0.0,-0.0,-0.0,-0.0,-0.0,0.0231520181514,0.04045103286519566,-0.0,0.78485341533246,0.78485341533246
2025-07-06 00:00:00,0.015071579060822897,0.023152018151421063,-0.0,-0.0,-0.0,-0.0,-0.0,0.0231520181514,0.03822359721224396,-0.0,0.78485341533246,0.78485341533246
2025-07-06 01:00:00,0.013688590974955275,0.021838428469070935,-0.0,0.008369606180798003,0.008540414470202044,-0.0,-0.0,0.0218384284691,0.03552701944402621,0.47957843415972556,0.7403227251024899,1.2199011592622155
2025-07-06 02:00:00,0.012833633439177101,0.0229878194411273,-0.0,0.0128336334392,0.013095544325714286,-0.0,-0.0,0.0229878194411,0.0358214528803044,0.73536719606616,0.77928707905329,1.51465427511945
2025-07-06 03:00:00,0.012449438466010732,0.03792990207786004,-0.0,0.012449438466,0.01270350863877551,-0.0,-0.0,0.0379299020779,0.05037934054387077,0.7133528241017999,1.2858236804408099,1.9991765045426098
2025-07-06 04:00:00,0.01303445186940966,0.05517076665870552,0.00833041991767,0.004704031951730001,0.004800032603806124,-0.0,-0.0,0.0551707666587,0.06820521852811517,0.26954103083412906,1.87028898972993,2.139830020564059
2025-07-06 05:00:00,0.015074387898032199,0.05779794602340579,0.0260997500164,-0.0,-0.0,0.01047409401248,0.0110253621184,0.0577979460234,0.07287233392143799,-0.0,1.95935037019326,1.95935037019326
2025-07-06 06:00:00,0.017885657602862252,0.057633747313112015,0.0453227766667,-0.0,-0.0,0.026065263110610002,0.027437119063800003,0.0576337473131,0.07551940491597427,-0.0,1.95378403391409,1.95378403391409
2025-07-06 07:00:00,0.019975538747763862,0.05221518987341773,0.0655352707569,-0.0,-0.0,0.04328174540864499,0.04555973200909999,0.0522151898734,0.07219072862118159,-0.0,1.77009493670826,1.77009493670826
2025-07-06 08:00:00,0.021190843000894452,0.05139419632194889,0.0830038998496,-0.0,-0.0,0.05872240400626499,0.06181305684869999,0.0513941963219,0.07258503932284334,-0.0,1.74226325531241,1.74226325531241
2025-07-06 09:00:00,0.021849499387298747,0.04827442082636733,0.0980019309508,-0.0,-0.0,0.07234480998532498,0.07615243156349999,0.0482744208264,0.07012392021366608,-0.0,1.63650286601496,1.63650286601496
2025-07-06 10:00:00,0.022659518627012522,0.046304036302842126,0.109596932491,-0.0,-0.0,0.0825905431708,0.086937413864,0.0463040363028,0.06896355492985465,-0.0,1.56970683066492,1.56970683066492
2025-07-06 11:00:00,0.023441763112701252,0.04613983759254837,0.113648980109,-0.0,-0.0,0.08569685614648499,0.0902072169963,0.0461398375925,0.06958160070524962,-0.0,1.56414049438575,1.56414049438575
2025-07-06 12:00:00,0.02345694517889088,0.0420348698352042,0.110871044604,-0.0,-0.0,0.083043394453845,0.0874140994251,0.0420348698352,0.06549181501409508,-0.0,1.42498208741328,1.42498208741328
2025-07-06 13:00:00,0.02371006890429338,0.041870671124910434,0.108766082945,-0.0,-0.0,0.080803213338665,0.0850560140407,0.0418706711249,0.06558074002920382,-0.0,1.41941575113411,1.41941575113411
2025-07-06 14:00:00,0.0246539821019678,0.03940769047050394,0.102559531736,-0.0,-0.0,0.05991096613499396,0.06306417487894102,0.0394076904705,0.06406167257247174,-0.0,1.33592070694995,1.33592070694995
2025-07-06 15:00:00,0.02780592766100179,0.039736087891091475,0.0874262179216,-0.0,-0.0,0.018639275747570003,0.019620290260600005,0.0397360878911,0.06754201555209327,-0.0,1.34705337950829,1.34705337950829
2025-07-06 16:00:00,0.034463270031305906,0.041870671124910434,0.06940830177,-0.0,-0.0,-0.0,-0.0,0.0418706711249,0.07633394115621633,-0.0,1.41941575113411,1.41941575113411
2025-07-06 17:00:00,0.0357392111940966,0.04515464533078577,0.0539854346094,-0.0,-0.0,-0.0,-0.0,0.0451546453308,0.08089385652488237,-0.0,1.5307424767141198,1.5307424767141198
2025-07-06 18:00:00,0.03224153219141324,0.04778182469548603,0.0422672682619,-0.0,-0.0,-0.0,-0.0,0.0477818246955,0.08002335688689927,-0.0,1.6198038571774498,1.6198038571774498
2025-07-06 19:00:00,0.02930391026833632,0.05073740148077383,0.0234734374016,-0.0,-0.0,-0.0,-0.0,0.0507374014808,0.08004131174911015,-0.0,1.7199979101991199,1.7199979101991199
2025-07-06 20:00:00,0.027107684852415024,0.04991640792930499,0.00817649705132,-0.0,-0.0,-0.0,-0.0,0.0499164079293,0.07702409278172001,-0.0,1.69216622880327,1.69216622880327
2025-07-06 21:00:00,0.02454635192307692,0.043020062096966794,-0.0,-0.0,-0.0,-0.0,-0.0,0.043020062097,0.06756641402004371,-0.0,1.4583801050883,1.4583801050883
2025-07-06 22:00:00,0.020879772839892664,0.03152615237640316,-0.0,-0.0,-0.0,-0.0,-0.0,0.0315261523764,0.05240592521629582,-0.0,1.06873656555996,1.06873656555996
2025-07-06 23:00:00,0.017411184458855096,0.0244656078337712,-0.0,-0.0,-0.0,-0.0,-0.0,0.0244656078338,0.041876792292626294,-0.0,0.82938410556582,0.82938410556582
2025-07-07 00:00:00,0.015037523533094812,0.024137210413183664,-0.0,-0.0,-0.0,-0.0,-0.0,0.0241372104132,0.039174733946278475,-0.0,0.81825143300748,0.81825143300748
