Technology,Capacity,CAPEX_ann_EUR,CAPEX_upfront_EUR,Savings_attributed_EUR_per_year,Simple_Payback_years
PV (MW),0.46570924163791,19377.125719272022,,,
Transformer (MW),0.5386773084574434,1557.5881074573904,,,
Export Link (MW),-0.0,-0.0,,,
Battery Power (MW),0.19832148630805702,1426.9802164602827,,,
Battery Energy (MWh),0.8047606814977386,14476.212245840172,,,
TES Power (MW_th),0.9960932873802866,956.4282966543617,,,
TES Energy (MWh_th),5.886726583639646,11304.627690179219,,,
Heat Pump (MW_th),0.3054472293964251,8990.13670880767,,,
