electricity_load_kwh,heat_load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,pv_to_building_kwh,pv_self_consumed_kwh,pv_exported_to_grid_kwh,pv_curtailed_kwh,timestamp
16.338246574239715,108.37114879388584,-0.0,16.3382465742,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 00:00:00
14.821018296064402,103.28098877477908,-0.0,14.8210182961,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 01:00:00
13.859538944543829,113.78970623358012,-0.0,13.8595389445,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 02:00:00
13.564086815742398,154.34678767614042,-0.0,13.5640868157,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 03:00:00
14.588771940966012,229.87819441127297,-0.0,14.588771941000001,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 04:00:00
18.61785189177101,239.2375208980177,-0.0,18.6178518918,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 05:00:00
22.630733358676206,228.72880343921665,-0.0,22.6307333587,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 06:00:00
23.6232051118068,222.160855027466,-0.0,23.6232051118,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 07:00:00
24.155559163685155,209.6817530451397,9.940119254899999,14.215439908800002,0.0,9.940119254899999,9.940119254899999,0.0,0.0,2025-10-26 08:00:00
24.33670569767441,201.6360162407452,23.3340954082,1.002610289499998,0.0,23.3340954082,23.3340954082,0.0,0.0,2025-10-26 09:00:00
24.934308394454384,194.08287556723192,36.0465517941,-0.0,10.556631229619995,24.9343083945,24.934308394454384,10.556631229619995,4.561628852428612e-11,2025-10-26 10:00:00
25.73140214221825,190.3063052304753,38.6151275679,-0.0,12.239539154414997,25.7314021422,25.7314021422,12.239539154414997,0.0,2025-10-26 11:00:00
25.870236802325586,187.18652973489367,41.232312714100004,-0.0,14.593972116210002,25.8702368023,25.8702368023,14.593972116210002,0.0,2025-10-26 12:00:00
26.76252197227191,186.3655361834249,40.7074533147,-0.0,13.247684775280002,26.7625219723,26.76252197227191,13.247684775280002,2.808864252301646e-11,2025-10-26 13:00:00
28.55354059481217,191.45569620253164,31.935438438099997,-0.0,3.2128029511349974,28.5535405948,28.5535405948,3.2128029511349974,0.0,2025-10-26 14:00:00
33.80513993291592,200.9792213995701,23.8254881272,9.9796518057,0.0,23.8254881272,23.8254881272,0.0,0.0,2025-10-26 15:00:00
44.58356111806798,211.1595414377836,10.543504516399999,34.0400566017,0.0,10.543504516399999,10.543504516399999,0.0,0.0,2025-10-26 16:00:00
47.19473054114491,221.3398614759972,-0.0,47.1947305411,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 17:00:00
41.53096799194992,228.8930021495104,-0.0,41.5309679919,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 18:00:00
36.61252682468694,227.9078098877478,-0.0,36.612526824700005,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 19:00:00
32.6745572763864,209.51755433484595,-0.0,32.6745572764,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 20:00:00
27.69420052325581,176.34941485550516,-0.0,27.694200523299997,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 21:00:00
22.52410646243292,129.0601862909004,-0.0,22.5241064624,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 22:00:00
18.550192446332737,107.550155242417,-0.0,18.5501924463,0.0,-0.0,-0.0,0.0,0.0,2025-10-26 23:00:00
16.132044096601074,117.89467399092428,-0.0,16.1320440966,0.0,-0.0,-0.0,0.0,0.0,2025-10-27 00:00:00
